Project_ID;Organization;Short_project_description;Year_technical_go_live;Organisation_profile;Business_domain;Development_method;Primary_programming_language;Development_class;Functional_size_FP;Actual_duration_months;Actual_cost_EUR;Actual_effort_hours;Defects_process;Defects_first_month;Stakeholder_satisfaction_process;Stakeholder Satisfaction - Product;Perceived_value_overall;Release_based_working;Once_only_project;Multi_application_release;Phased_project;Dependencies_with_other_applications;Single_application;Migration_project;Problems_with_external_supplier;Security_related_project;Package_of_the_shelf;Package_with_customization;Steady_heartbeat;Fixed_experienced_team;Many_team_changes_unexperienced_team;Legacy_application;Technology_driven_project;Rules_and_regulations_driven_project;Business_driven_project;Pilot_or_proof_of_concept
187;Bank A;"Maintenance and new functionality project on an existing internet application; part of a large customer migration program; Private Banking - Data Migration";2011;Banking;Internet & Mobile;Plan-driven;JAVA;Major Enhancement (25-75% new);326;9,46;1.513.000;;113;;;;;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
184;Bank A;"Maintenance and new functionality project on an existing savings  application; focus at private banking customers; part of a large program related to customer migration; Savings Private Banking";2011;Banking;Savings & Loans;Plan-driven;JAVA;Minor Enhancement (5-25% new);417;12,00;1.501.790;;117;;;;;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
443;Beltel;"New functionality project on a new application; part of a (phased) program; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium, India and Portugal; Order Management System - Handset Simple";2015;Telecommunications;Billing;Plan-driven;;Major Enhancement (25-75% new);259;10,29;138.000;;122;;;;;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0
183;Bank A;"Maintenance and new functionality release on an existing mortgages application; Intermediary Portfolio Transfer";2010;Banking;Mortgages;Plan-driven;JAVA;Major Enhancement (25-75% new);188;16,53;527.000;;144;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
257;Bank A;"Implementation of a package with customization mortgage application; part of alarge new mortgage application; Package Implementation Mortgages";2011;Banking;Mortgages;Plan-driven;JAVA;New Development;245;17,22;719.000;22.096;152;;;;;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1
311;Bank A;"Maintenance and new functionality project on an existing facilitiy management internet application; Drawing Management in Planon Facilty Management ";2012;Banking;Organization;Plan-driven;JAVA;New Development;544;13,21;615.000;;201;;;;;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
214;Bank A;"Maintenance and new functionality project on an existing savings and loans application; Product Into the Red";2011;Banking;Savings & Loans;Plan-driven;JAVA;Major Enhancement (25-75% new);113;11,77;793.900;;274;;;;;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0
205;Bank A;"Maintenance and new functionality project on an existing internet application; part of a large customer migration program; Wave 2 Internet - Customer Migration to Internet Banking Business";2010;Banking;Internet & Mobile;Plan-driven;JAVA;New Development;180;14,96;1.627.950;;307;;;;;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
134;Bank A;Housing Wizard in Internet Environment;2010;Banking;Internet & Mobile;Plan-driven;.NET;New Development;950;21,60;2.704.000;;350;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
194;Bank A;"Maintenance and new functionality project on an existing front office application; W2 Customer Information Management;  Procuration Internet";2010;Banking;Internet & Mobile;Plan-driven;JAVA;Minor Enhancement (5-25% new);532;11,53;1.512.090;;373;;;;;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
142;Bank A;New functionality in inetrnet environment related to new customer advisory application;2010;Banking;Internet & Mobile;Plan-driven;.NET;Minor Enhancement (5-25% new);554;11,53;830.680;;413;;;;;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;1;1
191;Bank A;"Maintenance and new functionality project on an existing front office application; part of large customer migration program; Branches Wave 2 IT";2010;Banking;Front Office Solutions;Plan-driven;JAVA;Minor Enhancement (5-25% new);704;15,06;1.627.280;;480;;;;;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
133;Bank A;"Structural Solution Savings Plan in internet environment; customer loyalty application";2008;Banking;Internet & Mobile;Plan-driven;.NET;Minor Enhancement (5-25% new);250;13,52;1.181.000;;888;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
